City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Hotel,Hotel Lat,Hotel Lng
cidreira,0,BR,1579909345,77,-30.18,-50.21,73.29,9.78,Novomar Pousada e Turismo Ltda,-30.1592308,-50.1997331
port lincoln,0,AU,1579909974,58,-34.73,135.87,70.59,6.35,Port Lincoln Hotel,-34.7178306,135.8544911
sao borja,0,BR,1579909889,51,-28.66,-56.0,73.85,5.73,Hotel Executivo,-28.6598188,-56.00444419999999
baracoa,0,CU,1579909523,58,20.35,-74.5,75.18,5.99,Hostal Rio Miel,20.3481223,-74.4952571
cockburn town,0,TC,1579910008,61,21.46,-71.14,76.6,9.31,Osprey Beach Hotel,21.4595491,-71.14738849999999
cangucu,0,BR,1579910010,80,-31.39,-52.68,73.99,4.36,Hotel Telesca,-31.3985508,-52.6782526
santiago del estero,0,AR,1579909996,36,-27.8,-64.26,79.99,5.57,Hotel Urbano,-27.780274,-64.2681376
corbelia,0,BR,1579910040,57,-24.8,-53.31,77.0,5.82,Peroza Hotel e Restaurante,-24.79280099999999,-53.288995
