City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Hotel Name
cidreira,0,BR,1579909345,77,-30.18,-50.21,73.29,9.78,Novomar Pousada e Turismo Ltda
port lincoln,0,AU,1579909974,58,-34.73,135.87,70.59,6.35,Port Lincoln Hotel
sao borja,0,BR,1579909889,51,-28.66,-56.0,73.85,5.73,Hotel Executivo
baracoa,0,CU,1579909523,58,20.35,-74.5,75.18,5.99,Hostal Rio Miel
cockburn town,0,TC,1579910008,61,21.46,-71.14,76.6,9.31,Osprey Beach Hotel
cangucu,0,BR,1579910010,80,-31.39,-52.68,73.99,4.36,Hotel Telesca
santiago del estero,0,AR,1579909996,36,-27.8,-64.26,79.99,5.57,Hotel Urbano
corbelia,0,BR,1579910040,57,-24.8,-53.31,77.0,5.82,Peroza Hotel e Restaurante
